embed_dim,hidden_size,json_top_keys,kind,list_item_keys,list_length,model_class,model_name,mtime_iso,n_classes,relative_path,tokenizer_name,top_keys
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\2_labels\FeatEnc_FFN.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\2_labels\FeatEnc_GRU.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\2_labels\FeatEnc_LSTM.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\2_labels\FeatEnc_RNN.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\3_labels\FeatEnc_CNN.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\3_labels\FeatEnc_FFN.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\3_labels\FeatEnc_GRU.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\3_labels\FeatEnc_LSTM.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]",model_config,,,,,2026-04-04T02:03:24+00:00,,Code\thesis\config\mlp_gelu_head_ddp\3_labels\FeatEnc_RNN.json,,"[""_comment"", ""FrozenPretrainGeLUHeadDDP""]"
,,list[2],model_config,"[""name"", ""config"", ""checkpoint"", ""modality""]",2,,,2026-03-30T05:59:38+00:00,,Code\thesis\config\moe\example_experts.json,,
