weight_relative,size_bytes,mtime_iso,run_meta_relative,meta_config,meta_n_classes,meta_pretrain_ckpt,meta_data_parquet,meta_layout
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\ffnn\trainable_head.safetensors,165120,2026-04-04T01:53:26+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\ffnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_FFN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_ffnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\gru\stacked_encoder_head.safetensors,318480,2026-04-04T01:57:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_GRU.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\gru\trainable_head.safetensors,165120,2026-04-04T01:57:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_GRU.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\lstm\stacked_encoder_head.safetensors,329360,2026-04-04T02:01:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_LSTM.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\lstm\trainable_head.safetensors,165120,2026-04-04T02:01:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_LSTM.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\rnn\stacked_encoder_head.safetensors,348144,2026-04-04T02:05:54+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_RNN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\rnn\trainable_head.safetensors,165120,2026-04-04T02:05:54+00:00,checkpoints\mlp_geLU_head_ddp\combined\2-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_RNN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\cnn\stacked_encoder_head.safetensors,339948,2026-04-04T02:09:32+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\cnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_CNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_cnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\cnn\trainable_head.safetensors,166724,2026-04-04T02:09:32+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\cnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_CNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_cnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\ffnn\stacked_encoder_head.safetensors,378428,2026-04-04T02:13:02+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\ffnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_FFN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_ffnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\ffnn\trainable_head.safetensors,166724,2026-04-04T02:13:02+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\ffnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_FFN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_ffnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\gru\stacked_encoder_head.safetensors,320084,2026-04-04T02:16:32+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_GRU.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\gru\trainable_head.safetensors,166724,2026-04-04T02:16:32+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_GRU.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\lstm\stacked_encoder_head.safetensors,330964,2026-04-04T02:20:04+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_LSTM.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\lstm\trainable_head.safetensors,166724,2026-04-04T02:20:04+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_LSTM.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\rnn\stacked_encoder_head.safetensors,349748,2026-04-04T02:23:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_RNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\rnn\trainable_head.safetensors,166724,2026-04-04T02:23:30+00:00,checkpoints\mlp_geLU_head_ddp\combined\3-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_RNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\cnn\trainable_head.safetensors,165120,2026-04-04T01:49:32+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\cnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_CNN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_cnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\ffnn\trainable_head.safetensors,165120,2026-04-04T01:53:26+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\ffnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_FFN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_ffnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\gru\trainable_head.safetensors,165120,2026-04-04T01:57:30+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_GRU.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\lstm\trainable_head.safetensors,165120,2026-04-04T02:01:30+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_LSTM.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
