dataset_stem,label_mode,model_id,class_name,config_path,weight_path,error,n_samples,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
amazon_reviews,3,hrm_finetune__amazon_reviews__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\amazon_reviews\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\amazon_reviews\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
HRAST,3,hrm_finetune__HRAST__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\HRAST\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\HRAST\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
IMDB_Dataset,3,hrm_finetune__IMDB_Dataset__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\IMDB_Dataset\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\IMDB_Dataset\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
MedicalSentimentAnalysis,3,hrm_finetune__MedicalSentimentAnalysis__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\MedicalSentimentAnalysis\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\MedicalSentimentAnalysis\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
PatientStatements,3,hrm_finetune__PatientStatements__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\PatientStatements\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\PatientStatements\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
sentiment_140,3,hrm_finetune__sentiment_140__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\sentiment_140\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\sentiment_140\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
tweet_eval,3,hrm_finetune__tweet_eval__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\tweet_eval\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\tweet_eval\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
yelp_business,3,hrm_finetune__yelp_business__3label,,D:\CAPSTONE\new\TEMP\Code\thesis\config\hrm\E_HRM1_4Level_ft_mlp_3label.json,D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\yelp_business\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,missing_checkpoint:D:\CAPSTONE\new\TEMP\checkpoints\hrm\fine-tune\yelp_business\3-labels\E_HRM1_4Level_ft_mlp_3label.safetensors,,,,,
