label_mode,safe_stem,original_stem,dataset,model_id,source,class_name,error,config_path,weight_path,experts_json,metrics_json_path,n_samples,accuracy,balanced_accuracy,hamming_loss,matthews_corrcoef,cohen_kappa,precision_macro,recall_macro,f1_macro,jaccard_macro,precision_micro,recall_micro,f1_micro,jaccard_micro,precision_weighted,recall_weighted,f1_weighted,jaccard_weighted,roc_auc_ovr_macro,roc_auc_skip_reason,labels_present_json,confusion_matrix_json
2,amazon_reviews,amazon_reviews,amazon_reviews,transformers_2_labels_B5_E_DL2_RoBERTa_mlp768_1024__all_data_ckpt,config_scan,LLMModule,,D:\CAPSTONE\new\TEMP\Code\thesis\config\transformers\2_labels\B5_E_DL2_RoBERTa_mlp768_1024.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\B5_E_DL2_RoBERTa_mlp768_1024.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\amazon_reviews\transformers_2_labels_B5_E_DL2_RoBERTa_mlp768_1024__all_data_ckpt\metrics.json,1000,0.921,0.9195473052350376,0.079,0.8410544002193859,0.840765615047851,0.921509383627258,0.9195473052350376,0.9203692447879654,0.8525650339006503,0.921,0.921,0.921,0.8535681186283596,0.9211298428853795,0.921,0.9209078672162198,0.8534892694063926,,"y should be a 1d array, got an array of shape (1000, 2) instead.","[0, 1]","[[505, 33], [46, 416]]"
2,HRAST,HRAST,HRAST,feature_encoder_2_labels_FeatEnc_CNN__all_data_ckpt,config_scan,FeatureEncoderClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\feature_encoder\2_labels\FeatEnc_CNN.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\FeatEnc_CNN.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_CNN__all_data_ckpt\metrics.json,927,0.6256742179072277,0.5899429817522727,0.3743257820927724,0.22976618391177658,0.1915650266027631,0.6467387956260588,0.5899429817522727,0.5650847132216443,0.411880055342699,0.6256742179072277,0.6256742179072277,0.6256742179072277,0.4552590266875981,0.6428004783510115,0.6256742179072277,0.5841721583393569,0.43066108256950675,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[463, 55], [292, 117]]"
2,HRAST,HRAST,HRAST,feature_encoder_2_labels_FeatEnc_FFN__all_data_ckpt,config_scan,FeatureEncoderClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\feature_encoder\2_labels\FeatEnc_FFN.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\FeatEnc_FFN.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_FFN__all_data_ckpt\metrics.json,927,0.6213592233009708,0.5865964637358281,0.3786407766990291,0.21740029724858062,0.1840341255332114,0.6364457831325301,0.5865964637358281,0.5633021735775113,0.4093927743838213,0.6213592233009708,0.6213592233009708,0.6213592233009708,0.4507042253521127,0.6335455449991264,0.6213592233009708,0.5820247132812305,0.42775948427315363,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[457, 61], [290, 119]]"
2,HRAST,HRAST,HRAST,feature_encoder_2_labels_FeatEnc_GRU__all_data_ckpt,config_scan,FeatureEncoderClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\feature_encoder\2_labels\FeatEnc_GRU.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\FeatEnc_GRU.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_GRU__all_data_ckpt\metrics.json,927,0.4412081984897519,0.5,0.5587918015102481,0.0,0.0,0.22060409924487595,0.5,0.3061377245508982,0.22060409924487595,0.4412081984897519,0.4412081984897519,0.4412081984897519,0.28304498269896194,0.1946646744145723,0.4412081984897519,0.27014094787770737,0.1946646744145723,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[0, 518], [0, 409]]"
2,HRAST,HRAST,HRAST,feature_encoder_2_labels_FeatEnc_LSTM__all_data_ckpt,config_scan,FeatureEncoderClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\feature_encoder\2_labels\FeatEnc_LSTM.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\FeatEnc_LSTM.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_LSTM__all_data_ckpt\metrics.json,927,0.4412081984897519,0.5,0.5587918015102481,0.0,0.0,0.22060409924487595,0.5,0.3061377245508982,0.22060409924487595,0.4412081984897519,0.4412081984897519,0.4412081984897519,0.28304498269896194,0.1946646744145723,0.4412081984897519,0.27014094787770737,0.1946646744145723,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[0, 518], [0, 409]]"
2,HRAST,HRAST,HRAST,feature_encoder_2_labels_FeatEnc_RNN__all_data_ckpt,config_scan,FeatureEncoderClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\feature_encoder\2_labels\FeatEnc_RNN.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\FeatEnc_RNN.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\feature_encoder_2_labels_FeatEnc_RNN__all_data_ckpt\metrics.json,927,0.4412081984897519,0.5,0.5587918015102481,0.0,0.0,0.22060409924487595,0.5,0.3061377245508982,0.22060409924487595,0.4412081984897519,0.4412081984897519,0.4412081984897519,0.28304498269896194,0.1946646744145723,0.4412081984897519,0.27014094787770737,0.1946646744145723,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[0, 518], [0, 409]]"
2,HRAST,HRAST,HRAST,ml_2_labels_E_ML1_LogisticRegression__all_data_ckpt,config_scan,LogisticRegression,,D:\CAPSTONE\new\TEMP\Code\thesis\config\ml\2_labels\E_ML1_LogisticRegression.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\E_ML1_LogisticRegression.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML1_LogisticRegression__all_data_ckpt\metrics.json,927,0.4412081984897519,0.5,0.5587918015102481,0.0,0.0,0.22060409924487595,0.5,0.3061377245508982,0.22060409924487595,0.4412081984897519,0.4412081984897519,0.4412081984897519,0.28304498269896194,0.1946646744145723,0.4412081984897519,0.27014094787770737,0.1946646744145723,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[0, 518], [0, 409]]"
2,HRAST,HRAST,HRAST,ml_2_labels_E_ML2_LinearSVC__all_data_ckpt,config_scan,LinearSVC,,D:\CAPSTONE\new\TEMP\Code\thesis\config\ml\2_labels\E_ML2_LinearSVC.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\E_ML2_LinearSVC.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML2_LinearSVC__all_data_ckpt\metrics.json,927,0.5587918015102481,0.5,0.4412081984897519,0.0,0.0,0.27939590075512405,0.5,0.35847750865051903,0.27939590075512405,0.5587918015102481,0.5587918015102481,0.5587918015102481,0.38772455089820357,0.3122482774350685,0.5587918015102481,0.40062858571945814,0.3122482774350685,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[518, 0], [409, 0]]"
2,HRAST,HRAST,HRAST,ml_2_labels_E_ML3_DecisionTreeClassifier__all_data_ckpt,config_scan,DecisionTreeClassifier,,D:\CAPSTONE\new\TEMP\Code\thesis\config\ml\2_labels\E_ML3_DecisionTreeClassifier.json,D:\CAPSTONE\new\TEMP\checkpoints\2-labels\all-data\E_ML3_DecisionTreeClassifier.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\ml_2_labels_E_ML3_DecisionTreeClassifier__all_data_ckpt\metrics.json,927,0.4412081984897519,0.5,0.5587918015102481,0.0,0.0,0.22060409924487595,0.5,0.3061377245508982,0.22060409924487595,0.4412081984897519,0.4412081984897519,0.4412081984897519,0.28304498269896194,0.1946646744145723,0.4412081984897519,0.27014094787770737,0.1946646744145723,,"y should be a 1d array, got an array of shape (927, 2) instead.","[0, 1]","[[0, 518], [0, 409]]"
2,HRAST,HRAST,HRAST,mlp_gelu_head_ddp_2_labels_FeatEnc_CNN__all_data_ckpt,config_scan,,load_model: dictionary update sequence element #0 has length 1; 2 is required,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_CNN.json,/home/ubuntu/CAPSTONE/TEMP/checkpoints/2-labels/all-data/FeatEnc_CNN.safetensors,,D:\CAPSTONE\new\TEMP\output\metrics\2label\HRAST\mlp_gelu_head_ddp_2_labels_FeatEnc_CNN__all_data_ckpt\metrics.json,,,,,,,,,,,,,,,,,,,,,,
